player_name,team,league,line_score,stat_type,start_time,updated_at,scrape_time
Jamal Shead,Raptors,NBA,6.0,Points,2025-10-29T18:40:00-04:00,2025-10-28T23:12:51-04:00,2025-10-29 16:58:22
Devin Booker,Suns,NBA,30.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T12:51:00-04:00,2025-10-29 16:58:22
Grayson Allen,Suns,NBA,16.5,Points,2025-10-29T22:10:00-04:00,2025-10-28T21:01:26-04:00,2025-10-29 16:58:22
Ja Morant,Grizzlies,NBA,25.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T10:54:26-04:00,2025-10-29 16:58:22
Jaren Jackson Jr.,Grizzlies,NBA,19.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T11:55:34-04:00,2025-10-29 16:58:22
Jaylen Wells,Grizzlies,NBA,12.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T12:48:37-04:00,2025-10-29 16:58:22
Jock Landale,Grizzlies,NBA,8.5,Points,2025-10-29T22:10:00-04:00,2025-10-28T20:45:36-04:00,2025-10-29 16:58:22
Kentavious Caldwell-Pope,Grizzlies,NBA,8.5,Points,2025-10-29T22:10:00-04:00,2025-10-28T20:37:09-04:00,2025-10-29 16:58:22
Santi Aldama,Grizzlies,NBA,11.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T07:38:00-04:00,2025-10-29 16:58:22
Jalen Green,Suns,NBA,15.0,Points,2025-10-29T22:10:00-04:00,2025-10-29T08:50:54-04:00,2025-10-29 16:58:22
Oso Ighodaro,Suns,NBA,5.5,Points,2025-10-29T22:10:00-04:00,2025-10-29T09:13:07-04:00,2025-10-29 16:58:22
Donovan Mitchell,Cavaliers,NBA,29.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T09:00:06-04:00,2025-10-29 16:58:22
De'Andre Hunter,Cavaliers,NBA,15.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T10:48:46-04:00,2025-10-29 16:58:22
Derrick White,Celtics,NBA,19.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T12:10:20-04:00,2025-10-29 16:58:22
Evan Mobley,Cavaliers,NBA,19.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T12:13:36-04:00,2025-10-29 16:58:22
Jarrett Allen,Cavaliers,NBA,12.5,Points,2025-10-29T19:10:00-04:00,2025-10-28T23:25:49-04:00,2025-10-29 16:58:22
Jaylen Brown,Celtics,NBA,23.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T12:04:28-04:00,2025-10-29 16:58:22
Neemias Queta,Celtics,NBA,7.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T12:13:38-04:00,2025-10-29 16:58:22
Payton Pritchard,Celtics,NBA,16.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T12:18:05-04:00,2025-10-29 16:58:22
Anfernee Simons,Celtics,NBA,14.5,Points,2025-10-29T19:10:00-04:00,2025-10-29T11:27:15-04:00,2025-10-29 16:58:22
Dean Wade,Cavaliers,NBA,5.5,Points,2025-10-29T19:10:00-04:00,2025-10-28T23:25:49-04:00,2025-10-29 16:58:22
Sam Hauser,Celtics,NBA,8.5,Points,2025-10-29T19:10:00-04:00,2025-10-28T23:24:15-04:00,2025-10-29 16:58:22
